,ALLSKY_KT,CLOUD_AMT,CLRSKY_KT,TOA_SW_DWN
201512,0.29,88.13,0.64,2.38
201601,0.34,78.28,0.65,2.82
201602,0.38,82.12,0.68,4.39
201603,0.45,77.75,0.72,6.66
201604,0.53,68.55,0.72,9.01
201605,0.53,63.11,0.73,10.77
201606,0.53,64.95,0.73,11.52
201607,0.56,55.62,0.73,11.07
201608,0.61,38.72,0.73,9.53
201609,0.55,55.6,0.71,7.34
201610,0.37,83.03,0.68,5.01
201611,0.31,87.76,0.64,3.17
201612,0.36,81.03,0.66,2.37
201701,0.45,73.93,0.67,2.84
201702,0.41,77.78,0.7,4.4
201703,0.36,89.02,0.71,6.64
201704,0.45,82.01,0.73,8.99
201705,0.52,63.16,0.73,10.76
201706,0.54,60.01,0.73,11.52
201707,0.66,30.76,0.74,11.07
201708,0.62,34.68,0.69,9.54
201709,0.52,55.04,0.66,7.36
201710,0.52,54.16,0.7,5.03
201711,0.3,89.42,0.66,3.18
201712,0.4,75.12,0.65,2.38
201801,0.29,89.06,0.65,2.84
201802,0.41,80.28,0.7,4.38
201803,0.47,71.06,0.72,6.62
201804,0.43,77.84,0.72,8.97
201805,0.6,49.73,0.73,10.75
201806,0.49,66.36,0.73,11.52
201807,0.64,30.09,0.73,11.08
201808,0.56,40.76,0.68,9.56
201809,0.51,60.63,0.7,7.38
201810,0.51,55.4,0.7,5.04
201811,0.41,75.13,0.66,3.19
201812,0.35,78.59,0.64,2.38
201901,0.41,80.28,0.66,2.83
201902,0.41,78.53,0.71,4.37
201903,0.59,50.29,0.72,6.6
201904,0.48,73.96,0.73,8.96
201905,0.55,57.78,0.73,10.73
201906,0.58,58.31,0.73,11.52
201907,0.52,59.66,0.71,11.09
201908,0.55,51.72,0.71,9.57
201909,0.46,72.67,0.7,7.39
201910,0.47,67.67,0.69,5.06
201911,0.46,67.89,0.66,3.2
201912,0.25,92.46,0.62,2.38
202001,0.29,92.68,0.65,2.82
202002,0.44,77.22,0.7,4.39
202003,0.51,65.65,0.73,6.66
202004,0.54,61.98,0.73,9.01
202005,0.52,70.07,0.73,10.77
202006,0.5,73.68,0.73,11.52
202007,0.58,45.62,0.73,11.07
202008,0.62,38.09,0.73,9.52
202009,0.52,47.92,0.63,7.34
202010,0.45,68.5,0.68,5.01
202011,0.37,79.25,0.66,3.17
202012,0.35,79.65,0.63,2.37
